,titles,timestamp,link
0,Judge: Google gets to keep Chrome but is barred from exclusive search deals,38 Min Ago,https://www.cnbc.com/2025/09/02/google-antitrust-search-ruling.html
1,"Santoli's Tuesday market wrap-up: Fresh challenges to prevailing, bullish beliefs",47 Min Ago,https://www.cnbc.com/2025/09/02/santolis-tuesday-market-wrap-up-challenges-to-prevailing-bullish-beliefs.html
2,Trump will ask Supreme Court for 'expedited ruling' on tariffs appeal,2 Hours Ago,https://www.cnbc.com/2025/09/02/trump-trade-supreme-court-tariffs-appeal.html
3,"Investors can grab double-digit yields with these buy-rated funds, BofA says",2 Hours Ago,https://www.cnbc.com/2025/09/02/grab-double-digit-yields-with-these-buy-rated-funds-bank-of-america-says.html
4,Airplane leasing world shrinks with $7.4 billion takeover of Air Lease,2 Hours Ago,https://www.cnbc.com/2025/09/02/airplane-leasing-air-lease-takeover.html
5,"OpenAI acquires Statsig for $1.1 billion, brings on CEO as applications executive",2 Hours Ago,https://www.cnbc.com/2025/09/02/openai-buys-statsig-for-1point1-billion-hires-ceo-as-applications-exec.html
6,"Harvard expert shares his 1 tip for living a happier, more successful life",2 Hours Ago,https://www.cnbc.com/2025/09/02/harvard-expert-arthur-brooks-top-tip-for-happier-more-successful-life.html
7,"The best and worst in Tuesday's down stock market — plus, Nvidia quashes rumors",2 Hours Ago,https://www.cnbc.com/2025/09/02/the-best-and-worst-in-tuesdays-down-stock-market-plus-nvidia-quashes-rumors.html
8,Goldman adds Walmart to September ‘conviction list.’ Here’s who else made it,3 Hours Ago,https://www.cnbc.com/2025/09/02/goldman-adds-walmart-to-september-conviction-list-who-else-made-it.html
9,The hidden gem of Home Depot's over $22 billion of deals to boost its pro sales,4 Hours Ago,https://www.cnbc.com/2025/09/02/the-hidden-gem-of-home-depots-over-22-billion-of-deals-to-boost-its-pro-sales.html
10,What Trump court loss means for billions in tariffs paid to government,4 Hours Ago,https://www.cnbc.com/2025/09/02/what-trump-court-loss-means-for-billions-in-tariffs-paid-to-government.html
11,"Stocks making biggest moves midday: Frontier Group, Kraft Heinz, Biogen & more",4 Hours Ago,https://www.cnbc.com/2025/09/02/stocks-making-the-biggest-midday-moves-ulcc-khc-pep-biib.html
